?b isMarriedTo ?a,?a isMarriedTo ?b
?a dealsWith ?c   ?c exports wordnet_lumber_114943580,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_electricity_111449907,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_metallic_element_114625458,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_computer_103082979,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_car_102958343,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_petroleum_114980579,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_coffee_bean_107929351,?a dealsWith China
?a dealsWith ?c   ?c exports wordnet_natural_gas_114960090,?a dealsWith China
?a dealsWith ?c   ?c isLocatedIn Caribbean,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Jordan,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Oman,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Pakistan,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Malaysia,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor North_Korea,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Yemen,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor United_Arab_Emirates,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Czech_Republic,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Switzerland,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Hungary,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Iraq,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Poland,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor China,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Burma,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Kingdom_of_the_Netherlands,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Luxembourg,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Germany,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Bulgaria,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Syria,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Armenia,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Iran,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Saudi_Arabia,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Greece,?a dealsWith China
?a dealsWith ?c   ?c hasNeighbor Kuwait,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_motor_vehicle_103791235,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_electronics_106099269,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_vehicle_104524313,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_food_100021265,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_pharmaceutical_103920989,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_machinery_103701640,?a dealsWith China
?a dealsWith ?c   ?c imports wordnet_electricity_111449907,?a dealsWith China
?a dealsWith ?c   ?c hasOfficialLanguage English_language,?a dealsWith China
?a dealsWith ?c   ?c hasOfficialLanguage Portuguese_language,?a dealsWith China
?a dealsWith ?c   ?c hasOfficialLanguage German_language,?a dealsWith China
?a dealsWith ?c   ?c hasOfficialLanguage Urdu,?a dealsWith China
?a dealsWith ?c   ?c hasOfficialLanguage Dutch_language,?a dealsWith China
?a dealsWith ?c   ?c hasCurrency United_States_dollar,?a dealsWith China
?a dealsWith ?c   Ayesha_Jalal isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Patrick_Macnee isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Joseph_Silk isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   William_Klein_(photographer) isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Muhammad_Zakariya_Kandhlawi isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Gilbert_Stork isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Sho-Chieh_Tsiang isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Wassily_Leontief isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Mohsin_Hamid isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Crystal_Kay isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Cecilia_Payne-Gaposchkin isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Yuet_Wai_Kan isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Becky_Hammon isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Kurt_Lewin isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Craig_Jamieson isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Li_Fang-Kuei isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Jim_Belushi isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Herbert_Kroemer isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Joan_Brady_(American-British_writer) isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   David_H._Hubel isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Erik_Erikson isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Nebahat_Albayrak isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Terence_Tao isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Linus_Torvalds isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Marcela_Carena isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ludwig_von_Bertalanffy isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Richard_Courant isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Michael_J._S._Dewar isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Shaukat_Aziz isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ludwig_Mies_van_der_Rohe isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Hans_Sennholz isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Evsey_Domar isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Rolf_Landauer isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Laurent_de_Brunhoff isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Severo_Ochoa isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Amitav_Ghosh isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Manuel_Lisa isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Julius_Edgar_Lilienfeld isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Lamberto_Cesari isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Brian_Schmidt isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Aaron_Director isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Martin_Sheen isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Hans_Reese isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Helmut_Newton isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Eugene_Wigner isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Peter_Sarnak isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Abdus_Salam isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Yoichiro_Nambu isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Renato_Dulbecco isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   StanisBaw_Ulam isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Karl_Eugen_Guthe isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Fulvio_Melia isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Robert_Aumann isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Helene_Deutsch isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Mother_Teresa isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   J._H._C._Whitehead isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Arif_Zaman isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Richard_Brauer isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Emmy_Noether isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Shuki_Levy isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Alexander_Graham_Bell isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Michael_Levitt isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Karl_Herzfeld isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Pedro_Pablo_Kuczynski isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Iman_(model) isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Judea_Pearl isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Sendhil_Mullainathan isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Moshe_Sharett isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Samuel_Karlin isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Muzafer_Sherif isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Walter_Gropius isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Chien-Shiung_Wu isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Antoni_Zygmund isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Rahadyan_Sastrowardoyo isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   E._Andrew_Balas isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Christopher_Guest isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Abraham_Wald isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Daniel_Pearl isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   David_Ben-Gurion isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Joseph_Schumpeter isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Otto_Loewi isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Chu_Ching-wu isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Frank_McCourt isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Roger_Guillemin isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Saleem_Ali_(academic) isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Daniel_Kahneman isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Dian_Fossey isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Henry_Taube isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Franco_Modigliani isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Alfred_Aho isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Shiing-Shen_Chern isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Hillel_Furstenberg isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Willard_Boyle isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Sverre_Petterssen isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Albert_W._Tucker isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Elihu_Thomson isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Federico_Capasso isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Anna_DeForge isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Mehmet_Oz isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Abraham_Pais isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Stanislaw_Ulam isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Eliza_Dushku isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ahmed_Zewail isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Krzysztof_Matyjaszewski isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Nicolaas_Bloembergen isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Tom_M._Apostol isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Guido_Fubini isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Salvador_Luria isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ralph_Kronig isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Tony_Clement isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Richard_Pestell isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Levi_Eshkol isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Haim_Saban isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Robert_J._Sawyer isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Peter_Debye isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Lars_Onsager isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Jonathan_Spence isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Myron_Scholes isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Baruj_Benacerraf isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Robert_Brout isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Anthony_Bebbington isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Emile_Berliner isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ben_Roy_Mottelson isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Adolf_Hurwitz isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   S._R._Srinivasa_Varadhan isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Victor_Francis_Hess isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Anthony_Pawson isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Tsui_Lap-chee isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Walter_Kohn isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Thomas_Gold isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Joseph_Brodsky isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   James_Murdoch_Austin isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Wen-Hsiung_Li isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Emery_Roth isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Barthold_Fles isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ernst_G._Straus isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Bernhard_Fernow isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Roald_Hoffmann isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Fan_Chung isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Bruno_Rossi isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Lisa_Feldman_Barrett isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Behzad_Razavi isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   David_Frum isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Irving_Kaplansky isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   George_Gamow isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Ronald_Ross isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Albert_Einstein isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Eugene_Dynkin isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Margaret_J._Osler isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Victor_Weisskopf isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Alfred_Molina isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Stephen_Kuffler isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Albert_Eschenmoser isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Chaudry_Mohammad_Aslam isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Charles_K._Kao isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Riccardo_Giacconi isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Paris_Kanellakis isCitizenOf ?c,?a dealsWith China
?a dealsWith ?c   Liaquat_Ali_Khan isPoliticianOf ?c,?a dealsWith China
?a dealsWith ?c   Kosovo_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Wars_of_Alexander_the_Great happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Vella_Gulf happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Bergen_(1799) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Attack_on_Broome happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Allied_invasion_of_Sicily happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Bergen_(1759) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Ligny happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Iraqi_Kurdish_Civil_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Waterloo happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Vietnam_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Sierra_Leone_Civil_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Allied_invasion_of_Italy happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Second_Sino-Japanese_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Ruhr_Pocket happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_the_Java_Sea happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Italian_Campaign_(World_War_II) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Liberation_of_Paris happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Gulf_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Leyte_Gulf happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Operation_Achilles happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Cuito_Cuanavale happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Shia_insurgency_in_Yemen happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Okpo happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Vlieter_Incident happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Indo-Pakistani_War_of_1971 happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_for_Brest happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Tsushima happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Fleurus_(1690) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Pacific_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Austro-Prussian_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Siege_of_Pensacola happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Soviet_war_in_Afghanistan happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Korean_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   South-East_Asian_theatre_of_World_War_II happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Kloster_Kampen happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Second_Battle_of_the_Marne happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Balikpapan_(1942) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Inchon happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Inab happenedIn ?c,?a dealsWith China
?a dealsWith ?c   2010_FINA_Swimming_World_Cup happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Tassafaronga happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Heartbreak_Ridge happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Burma_Campaign happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_the_Coral_Sea happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Chios_(201_BC) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Allied_advance_from_Paris_to_the_Rhine happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Okinawa happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Black_Friday_(1945) happenedIn ?c,?a dealsWith China
?a dealsWith ?c   2008_FINA_Swimming_World_Cup happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_the_Scheldt happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Sunda_Strait happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Krefeld happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Aleutian_Islands_Campaign happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Second_Boer_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Flanders_Campaign happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Operation_K happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_Quatre_Bras happenedIn ?c,?a dealsWith China
?a dealsWith ?c   Fourth_Anglo-Dutch_War happenedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Motorcycle_Diaries_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Chaplin_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Emma_(1996_theatrical_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   King_Kong_(2005_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Crouching_Tiger isLocatedIn _Hidden_Dragon,?a dealsWith China
?a dealsWith ?c   ISG_Business_School isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Knock_Off_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Odessa_File_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Taking_Lives_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   8_Heads_in_a_Duffel_Bag isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Zoolander isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Barbie_Diaries isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_NeverEnding_Story_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Combat_18 isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Alfie_(2004_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Bank_Job isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Cleopatra_(1999_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   What's_New_Pussycat? isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   About_Love isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Pirzada isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Painted_Veil_(2006_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Original_Sin_(2001_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Battle_of_the_Scheldt isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   24_(TV_series) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Across_the_Universe_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Equus_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_International_(2009_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Lassie_(2005_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Man_in_the_Iron_Mask_(1998_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Captain_Scarlet_vs_the_Mysterons isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Eifel isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Santa_Buddies isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Hairy_Bird isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Mr._Nobody_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Casino_Royale_(1967_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Wild_Blue_Yonder isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Crocodile_Dundee_in_Los_Angeles isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Midnight_Express_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Tamara_(2005_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Once_Upon_a_Time_in_America isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Holocaust_(TV_miniseries) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Treasure_of_San_Gennaro isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Punisher_(2004_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Kushan_Empire isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Nickelodeon_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Lion_of_Oz isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Deserter_(1971_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Day_the_Earth_Stood_Still_(2008_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Night_on_Earth isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Ripley's_Believe_It_or_Not! isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Simply_Irresistible_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Pope_John_Paul_II_(TV_miniseries) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Riding_in_Cars_with_Boys isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Scream_of_Stone isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Analyze_That isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Madhouse_(1974_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Avaya isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Godzilla_(1998_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Claro_Americas isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   All_Dogs_Go_to_Heaven isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Blindness_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Now_You_See_Me_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Perdita_Durango isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Blue_Streak_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Remains_of_the_Day_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Crying_Game isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Bhowani_Junction_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Adventures_of_Pinocchio_(1996_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Thirteen_Ghosts isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Beat_the_Devil_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Zugspitze isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Flushed_Away isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Alexander_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Bear_Island_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Ella_Enchanted_(film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Leviathan_(1989_film) isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   Blow_Dry isLocatedIn ?c,?a dealsWith China
?a dealsWith ?c   The_Soloist isLocatedIn ?c,?a dealsWith China
